participant_id,trial_number,drawing_filename,condition,category,memorability,target_image,selected_image,correct,selected_type,rt
3100_1764028514660,0,data/drawings/category/c12_29_house.jpg,category,house,NA,NA,data/stim/house_foil.jpg,NA,foil,22371
3100_1764028514660,1,data/drawings/delayed_recall/15_2_low_bathroom.jpg,delayed_recall,bathroom,low,data/stim/bathroom_low.jpg,data/stim/bathroom_low.jpg,TRUE,NA,13190
3100_1764028514660,2,data/drawings/category/c10_22_mountain.jpg,category,mountain,NA,NA,data/stim/mountain_foil.jpg,NA,foil,7331
3100_1764028514660,3,data/drawings/category/c2_20_fountain.jpg,category,fountain,NA,NA,data/stim/fountain_foil.jpg,NA,foil,6226
3100_1764028514660,4,data/drawings/category/c10_15_house.jpg,category,house,NA,NA,data/stim/house_foil.jpg,NA,foil,8202
3100_1764028514660,5,data/drawings/delayed_recall/4_19_high_diningroom.jpg,delayed_recall,diningroom,high,data/stim/dining_room_high.jpg,data/stim/dining_room_high.jpg,TRUE,NA,9865
3100_1764028514660,6,data/drawings/delayed_recall/7_17_low_house.jpg,delayed_recall,house,low,data/stim/house_low.jpg,data/stim/house_low.jpg,TRUE,NA,13168
3100_1764028514660,7,data/drawings/delayed_recall/28_8_low_tower.jpg,delayed_recall,tower,low,data/stim/tower_low.jpg,data/stim/tower_low.jpg,TRUE,NA,10910
3100_1764028514660,8,data/drawings/delayed_recall/26_2_low_garden.jpg,delayed_recall,garden,low,data/stim/garden_low.jpg,data/stim/garden_low.jpg,TRUE,NA,14055
3100_1764028514660,9,data/drawings/category/c12_4_mountain.jpg,category,mountain,NA,NA,data/stim/mountain_high.jpg,NA,high,5006
3100_1764028514660,10,data/drawings/delayed_recall/6_11_low_diningroom.jpg,delayed_recall,diningroom,low,data/stim/dining_room_low.jpg,data/stim/dining_room_low.jpg,TRUE,NA,9410
3100_1764028514660,11,data/drawings/category/c2_9_livingroom.jpg,category,livingroom,NA,NA,data/stim/living_room_high.jpg,NA,high,14835
3100_1764028514660,12,data/drawings/category/c4_1_garden.jpg,category,garden,NA,NA,data/stim/garden_low.jpg,NA,low,25294
3100_1764028514660,13,data/drawings/delayed_recall/25_13_high_amusementpark.jpg,delayed_recall,amusementpark,high,data/stim/amusement_park_high.jpg,data/stim/amusement_park_high.jpg,TRUE,NA,10843
