participant_id,n_trials,n_attention_checks,attention_check_failures,session_duration_min,median_rt,delayed_recall_accuracy,technical_difficulties,exclude_attention,exclude_incomplete,exclude_timeout,exclude_fast_rt,exclude_low_accuracy,exclude_technical,exclude_any
3100_1764028514660,60,0,0,13.074866666666667,11235.5,0.8666666666666667,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
3d0f_1764028341127,60,0,0,7.02775,6164,0.7419354838709677,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
42ec_1764027079037,60,0,0,11.2027,8898.5,0.84375,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
5bee_1764028187352,60,0,0,7.925316666666666,7333,0.896551724137931,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
5fc8_1764027336672,60,0,0,7.5266,6564.5,0.8333333333333334,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
68e2_1764028129840,60,0,0,5.671,4557.5,0.8928571428571429,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
719f_1764026931543,60,0,0,19.759033333333335,17698.5,0.8620689655172413,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
8c4d_1764027882595,60,0,0,6.937983333333333,7037.5,0.7931034482758621,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
bfd8_1764028266404,60,0,0,8.937633333333334,7212.5,0.896551724137931,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
d971_1764029145651,60,0,0,9.1483,7518,0.8571428571428571,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
f28d_1764030237528,60,0,0,5.352983333333333,4540,0.8709677419354839,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
f9e6_1764028556549,60,0,0,6.041433333333333,3963,0.7586206896551724,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
